procs -----------memory---------- ---swap-- -----io---- -system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0 162644 11391936  10668 5526532    0    0 10508     0 8605 7358 55  2 43  0  0
 9  0 162644 11316668  10696 5558056    0    0 15790     0 8502 6920 71  2 26  0  0
10  0 162644 11128692  10724 5586500    0    0 14350    16 10725 8634 74  3 23  0  0
11  0 162644 10986588  10752 5614220    0    0 13582     0 11910 6317 91  3  5  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 9  0 162644 10754080  10772 5637532    0    0 11658    32 6996 3988 79  2 19  0  0
 6  0 162644 10646200  10780 5637992    0    0   256    40 8749 7367 53  2 45  0  0
 8  0 162644 10618424  10812 5668840    0    0 15376     0 7165 6820 59  2 39  0  0
 4  0 162644 10495316  10844 5700572    0    0 15762     2 4209 3939 47  1 51  0  0
 4  0 162644 10441856  10876 5732672    0    0 16144     0 4103 3872 35  1 65  0  0
 2  0 162644 10385600  10908 5764372    0    0 15888     0 4040 3382 30  1 69  0  0
 1  0 162644 10427916  10908 5767944    0    0  1664     0 2924 3041  6  0 94  0  0
 1  0 162644 10427792  10908 5767940    0    0     0     0 1079 1247  8  0 91  0  0
 1  0 162644 10428080  10916 5767940    0    0     0    42 1127 1281 10  0 90  0  0
 1  0 162644 10428716  10916 5767936    0    0     0     0 1062 1249  8  0 91  0  0
 0  0 162644 10429848  10916 5767940    0    0     0     6  905 1145  5  0 95  0  0
 3  0 162644 10377972  10924 5768024    0    0     0     0 4026 3081 21  0 79  0  0
 8  0 162644 10219756  10928 5768044    0    0     0     0 13166 9168 47  3 50  0  0
10  0 162644 10109272  10928 5768044    0    0     0    20 15304 10054 66  3 31  0  0
12  0 162644 9848996  10928 5768032    0    0     0     0 11139 8887 86  3 10  0  0
 1  0 162644 9783524  11012 5832508    0    0     2    14 6558 3961 53  2 45  0  0
12  2 162644 9652060  11056 5856616    0    0  4614 38410 6180 3551 74  2 24  0  0
 4  0 162644 9328668  11116 5905628    0    0 11788     2 5344 3084 85  2 12  0  0
21  0 162644 9283144  11172 5951088    0    0  9354   104 4836 2507 59  1 40  0  0
 6  0 162644 9061292  11252 6019492    0    0 18962     0 4789 3392 87  2 11  0  0
13  0 162644 8862884  11428 6151552    0    0 12304     2 6456 2457 73  2 25  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0 162644 8713340  11520 6222864    0    0  6920     0 6914 3822 85  2 13  0  0
 9  0 162644 8565564  11556 6252040    0    0   512     0 8071 2676 80  2 18  0  0
 9  0 162644 8338520  11604 6287456    0    0  7176     0 7692 4716 72  2 26  0  0
 9  2 162644 8200648  11652 6328928    0    0 10792 95078 4177 2916 70  2 17 11  0
 9  0 162644 8012052  11712 6381208    0    0  6766 46140 4230 2665 68  2 22  8  0
 7  0 162644 7921284  11824 6472864    0    0     2   270 3242 2223 52  1 47  0  0
10  0 162644 7804732  11924 6554756    0    0  4612     0 3512 2057 47  1 52  0  0
 6  0 162644 7751420  11956 6585108    0    0 13454     6 2676 1883 54  1 45  0  0
 4  0 162644 7719592  11988 6615552    0    0 15118     0 1803 1830 29  1 70  0  0
 2  0 162644 7494564  12012 6633424    0    0  8840    20 1962 1572 29  1 70  0  0
 2  1 162644 7489496  12012 6633424    0    0     0 61732 1132 1234  8  0 89  2  0
 1  0 162644 7496612  12024 6627720    0    0     2 48524  987 1049  2  0 88 10  0
 2  0 162644 7496844  12024 6627716    0    0     0    12  675  931  0  0 100  0  0
 2  0 162644 7498208  12024 6627712    0    0     0     0  676  930  0  0 100  0  0
 1  0 162644 7497596  12024 6627668    0    0     0     2  645  933  0  0 100  0  0
 1  0 162644 7498216  12024 6627652    0    0     0     0  649  922  0  0 100  0  0
 2  0 162644 7498596  12024 6627612    0    0     0     0  635  941  0  0 100  0  0
 1  0 162644 7498968  12024 6627612    0    0     0     6  669  972  0  0 100  0  0
 1  0 162644 7499232  12032 6627568    0    0     0    26  698  953  0  0 99  0  0
11  0 162644 7719504  12032 6291496    0    0     0     0 4709 3376 48  1 51  0  0
 9  0 162644 7626380  12032 6291488    0    0     0     0 10649 6844 72  2 26  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
10  0 162644 7383712  12032 6291404    0    0     0     0 16423 7316 71  3 26  0  0
 9  0 162644 7173028  12032 6291396    0    0     0   204 7225 5493 83  3 14  0  0
10  0 162644 7025700  12032 6291332    0    0     0     0 6355 5891 75  3 23  0  0
12  0 162644 6944744  12032 6291332    0    0     0    18 5333 5516 82  2 16  0  0
11  0 162644 6819000  12032 6291276    0    0     0     0 5221 4829 89  3  9  0  0
11  0 162644 6715840  12044 6291332    0    0     0   184 8219 6697 83  3 15  0  0
12  0 162644 6566404  12044 6291092    0    0     0     8 7123 6720 85  3 12  0  0
11  0 162644 6438468  12044 6291104    0    0     0     0 3682 3982 89  2  9  0  0
10  0 162644 6402880  12044 6291096    0    0     0     6 6758 6620 84  2 14  0  0
10  0 162644 6267728  12044 6291112    0    0     0     0 7266 6936 81  3 16  0  0
13  0 162644 6182888  12044 6291068    0    0     0     0 8141 7719 82  2 15  0  0
12  0 162644 6062136  12044 6291012    0    0     0    42 6270 3777 93  3  4  0  0
 4  0 162644 6063764  12044 6290920    0    0     0     0 2882 2855 52  1 47  0  0
 4  0 162644 6062880  12052 6290924    0    0     0    50 1942 2061 34  1 65  0  0
 3  0 162644 6062844  12064 6291012    0    0    44     0 2799 2782 24  0 75  0  0
 0  0 162644 6063108  12064 6290960    0    0     0     0 4503 4161  2  0 97  0  0
 1  0 162644 6062984  12064 6290928    0    0     0     0 1262 1121  2  0 98  0  0
 0  0 162644 6062992  12064 6290928    0    0     0     0 1285 1205  3  0 97  0  0
 1  0 162644 6063256  12064 6290920    0    0     0    10 1213 1193  3  0 97  0  0
 1  0 162644 6063040  12064 6290932    0    0     0     0 1425 1175  8  1 91  0  0
 0  0 162644 6063048  12072 6290924    0    0     0    84 1337 1059  4  0 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0 162644 6063056  12072 6290932    0    0     0   122 1495 1144  6  0 94  0  0
 3  0 162644 6061088  12072 6290932    0    0     0     0 2429 1044 12  0 87  0  0
 2  0 162644 6058840  12072 6290932    0    0     0     6 3057 1006 15  0 85  0  0
 2  0 162644 6058484  12072 6290924    0    0     0     0 3256  992 16  0 84  0  0
 0  0 162644 6018060  12072 6290924    0    0     0     0 2131 1054 11  0 89  0  0
 0  0 162644 6017928  12072 6290920    0    0     0     6  657  973  0  0 100  0  0
 0  0 162644 6018176  12072 6290916    0    0     0     0  641  943  0  0 100  0  0
 0  0 162644 6018208  12080 6290916    0    0     0    24  658  974  0  0 99  0  0
 0  0 162644 6018572  12080 6290916    0    0     0     0  625  922  0  0 100  0  0
10  0 162644 5953940  12092 6291020    0    0     0     0 9164 3945 63  2 36  0  0
14  0 162644 5714868  12092 6291020    0    0     0     2 17804 8748 83  5 12  0  0
10  0 162644 5644196  12104 6298836    0    0     0     0 13657 7632 90  3  7  0  0
19  0 162644 5303072  12132 6322992    0    0  2820     0 10855 4930 82  3 15  0  0
10  0 162644 5162680  12172 6350624    0    0 13712     0 3997 4029 91  2  7  0  0
11  0 162644 4949252  12224 6402760    0    0 12556     0 7095 6750 73  3 25  0  0
 5  2 162644 4791656  12284 6449588    0    0 11684 25802 6557 5742 81  3 13  4  0
12  0 162644 4622752  12348 6502464    0    0 12404     0 5783 5311 75  2 23  0  0
10  0 162644 4357392  12404 6553052    0    0 11786    18 3698 2997 75  2 23  0  0
10  0 162644 4285224  12408 6553884    0    0   384     0 7427 7164 82  2 16  0  0
12  0 162644 4009084  12408 6553888    0    0     2     0 9119 7345 81  2 17  0  0
12  0 162644 3795076  12412 6553908    0    0     0     8 14799 13453 79  3 18  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
10  0 162644 3706176  12428 6565816    0    0     0     0 5783 4685 80  2 18  0  0
10  0 162644 3593700  12444 6580564    0    0     0     8 2943 2646 55  1 43  0  0
 4  0 162644 3440724  12452 6577968    0    0     0 50550 4790 4631 45  1 48  6  0
 4  0 162644 3324064  12472 6593500    0    0     0     0 2403 2111 44  1 55  0  0
10  0 162644 3286772  12516 6630468    0    0     0   166 4213 1908 31  1 68  0  0
 1  0 162644 3191912  12516 6630472    0    0     0     0 1707 1469 24  1 76  0  0
 2  0 162644 3191556  12520 6630472    0    0     0     0 1114 1219  9  0 91  0  0
 0  0 162644 3191944  12520 6630472    0    0     0     0 1034 1138  6  0 94  0  0
 0  0 162644 3192332  12520 6630460    0    0     0     0  665  950  0  0 100  0  0
 1  0 162644 3192720  12520 6630460    0    0     0 12256  708  959  0  0 100  0  0
 0  0 162644 3193828  12528 6629184    0    0     0 12806  812 1032  0  0 97  3  0
 0  0 162644 3193944  12528 6629180    0    0     0    10  680  952  0  0 100  0  0
 0  0 162644 3194356  12528 6629136    0    0     0     0  683  939  0  0 100  0  0
 0  0 162644 3194472  12528 6629132    0    0     0    20  639  937  0  0 100  0  0
 0  0 162644 3194968  12528 6629096    0    0     0     0  656  941  0  0 100  0  0
 0  0 162644 3194720  12528 6629096    0    0     0     0  662  930  0  0 100  0  0
 0  0 162644 3194984  12548 6629060    0    0     4    40  682  974  0  0 99  1  0
 0  0 162644 3194984  12572 6629056    0    0     0    44  739  989  0  0 99  1  0
 0  0 162644 3194984  12632 6629076    0    0    14    70  705  996  0  0 98  1  0
 0  0 162644 3195224  12632 6629080    0    0     0     0  609  946  0  0 100  0  0
 1  0 162644 3195232  12632 6629076    0    0     0     0  636  933  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 162644 3195480  12632 6629072    0    0     0     2  657  942  0  0 100  0  0
 0  0 162644 3195356  12632 6629072    0    0     0     0  622  931  0  0 100  0  0
 0  0 162644 3194976  12632 6629076    0    0     0     0  638  979  0  0 100  0  0
 0  0 162644 3195356  12632 6629076    0    0     0     0  643  941  0  0 100  0  0
 0  0 162644 3195348  12632 6629076    0    0     0     0  644  942  0  0 100  0  0
12  0 162644 3489312  12660 6252872    0    0  5642   100 2663 2984 38  1 61  0  0
